fps,frametime,elapsed
38.9298,25.6873,582315752000
46.7728,21.3799,582415866393
51.574,19.3896,582515977851
58.4366,17.1126,582616713940
48.2303,20.7339,582716842730
47.0662,21.2467,582816972111
49.5889,20.1658,582917131990
51.8126,19.3003,583017256472
50.6963,19.7253,583117381204
32.1052,31.1476,583217526766
29.3038,34.1252,583317652360
27.0672,36.9451,583417788594
34.6074,28.8955,583517894451
32.1041,31.1487,583618003334
29.8704,33.478,583718181577
41.1741,24.2871,583818308043
45.1262,22.1601,583918440089
43.4559,23.0118,584018570442
44.3767,22.5343,584118705694
48.4516,20.6391,584218844814
50.4764,19.8113,584320340698
44.8806,22.2813,584420443319
44.541,22.4512,584520547573
49.4232,20.2334,584620668819
48.7237,20.5239,584720768585
49.2423,20.3078,584820888819
53.7986,18.5878,584921368668
58.7673,17.0163,585021469576
54.4009,18.382,585121586764
49.8058,20.078,585221696198
58.7652,17.0169,585321820620
42.1066,23.7493,585421985888
46.2084,21.6411,585522086976
45.7993,21.8344,585622195839
15.8452,63.1107,585722309651
58.1776,17.1888,585822401682
61.7793,16.1867,585922496759
59.8782,16.7006,586022596345
75.2206,13.2942,586122695960
62.1904,16.0797,586222793872
61.3114,16.3102,586322896062
54.8833,18.2205,586422998643
51.1634,19.5452,586523087038
54.6574,18.2958,586623187595
52.8013,18.9389,586723296027
54.5472,18.3327,586823492514
62.3662,16.0343,586923609712
51.1892,19.5354,587023712043
54.8498,18.2316,587123818040
56.408,17.728,587223909170
54.6711,18.2912,587324002213
58.1255,17.2042,587424082151
56.448,17.7154,587524175705
53.7936,18.5896,587624280891
62.816,15.9195,587724380877
52.356,19.1,587824484099
13.7965,72.482,587924583885
59.4135,16.8312,588024690243
57.3179,17.4466,588124791261
62.3417,16.0406,588224881078
65.8348,15.1895,588324982076
52.6573,18.9907,588425081090
56.6407,17.6551,588525167802
54.1528,18.4663,588625266395
60.9946,16.3949,588725360200
54.4197,18.3757,588825455186
52.2564,19.1364,588925561645
53.4641,18.7041,589025669235
54.3078,18.4136,589125759613
57.6435,17.348,589225855171
45.7098,21.8772,589326196359
71.4652,13.9928,589426298860
60.2093,16.6087,589526757890
52.1317,19.1822,589626851534
57.3886,17.4251,589726967380
56.9766,17.5511,589827068879
48.6658,20.5483,589927172912
54.957,18.1961,590027277367
57.7775,17.3078,590127368546
56.1082,17.8227,590227465096
53.4789,18.699,590327565854
51.6854,19.3478,590428070328
53.1907,18.8003,590528168661
56.2693,17.7717,590628268838
55.1992,18.1162,590728386447
51.2416,19.5154,590829158524
51.3103,19.4892,590929254562
55.065,18.1604,591029353447
62.9802,15.878,591129447982
59.4839,16.8113,591229562265
54.8503,18.2314,591329659075
47.3259,21.1301,591429767698
49.1423,20.3491,591529878083
59.3637,16.8453,591629974863
60.8785,16.4262,591730243295
45.27,22.0897,591830339795
61.9197,16.1499,591930452325
60.0991,16.6392,592030568591
55.0857,18.1535,592130673176
57.0105,17.5406,592230773252
56.0069,17.8549,592330877276
54.9697,18.1919,592438261205
63.0513,15.8601,592538383754
55.3871,18.0547,592638492175
17.391,57.5011,592738598794
50.072,19.9712,592838698890
52.9971,18.869,592938801652
59.4576,16.8187,593038908711
53.8123,18.5831,593139014408
58.5278,17.0859,593239120816
55.7234,17.9458,593339411249
56.8508,17.5899,593439529199
62.7771,15.9294,593539651778
60.6105,16.4988,593639800816
66.0694,15.1356,593739919787
69.5894,14.37,593840032958
57.1755,17.49,593940167509
58.6821,17.041,594040265932
60.9794,16.399,594140363624
66.1528,15.1165,594240462869
57.4503,17.4063,594340554479
62.2544,16.0631,594440647302
53.1379,18.819,594540745625
61.1562,16.3516,594640844178
59.7648,16.7323,594741283942
60.1239,16.6323,594841390410
60.6876,16.4778,594941496117
