fps,frametime,elapsed
34.0732,29.3486,1072014950149
36.6437,27.2898,1072115029035
35.1923,28.4153,1072215157645
41.1899,24.2778,1072315268722
36.2292,27.602,1072415376913
33.5696,29.7889,1072516022883
36.5882,27.3312,1072616165610
40.4132,24.7444,1072716261398
42.4064,23.5813,1072817053753
41.1543,24.2988,1072917155963
26.3969,37.8832,1073017251230
32.7733,30.5126,1073117353461
34.2425,29.2035,1073217461061
33.9848,29.4249,1073317568301
39.2655,25.4676,1073417664229
39.0187,25.6287,1073517773883
34.1781,29.2585,1073617879560
35.2734,28.35,1073717984566
35.3274,28.3067,1073818137341
37.64,26.5675,1073918384974
36.8946,27.1042,1074018486323
37.6823,26.5377,1074118974036
32.4592,30.8079,1074219090303
41.1786,24.2844,1074319200889
42.9368,23.29,1074419320241
35.3325,28.3025,1074519421880
37.0532,26.9882,1074619522427
32.8046,30.4836,1074719621101
34.9007,28.6527,1074819716629
29.9398,33.4003,1074919821564
37.5459,26.634,1075019919596
29.1217,34.3387,1075120916846
16.0607,62.2636,1075221009278
40.133,24.9172,1075321116317
42.241,23.6737,1075421217125
32.6871,30.5931,1075521323493
36.3886,27.4811,1075621413991
39.1124,25.5673,1075721506182
36.5414,27.3662,1075821607311
38.7497,25.8067,1075921697939
38.0746,26.2642,1076021803005
43.7345,22.8652,1076121901438
48.9738,20.4191,1076222081785
45.2404,22.1042,1076322184165
37.8414,26.426,1076422283140
42.1003,23.7528,1076522371394
40.8878,24.4572,1076622468945
40.5611,24.6541,1076722568100
38.5796,25.9204,1076822662475
38.4278,26.0228,1076922765387
42.8882,23.3164,1077022873679
41.5151,24.0876,1077122974065
39.6677,25.2094,1077223038625
39.8594,25.0882,1077323134543
39.1883,25.5178,1077423385573
39.2218,25.496,1077523484687
42.6589,23.4418,1077623598079
18.1862,54.9866,1077723712341
35.4268,28.2272,1077823805976
37.1009,26.9535,1077923905601
43.2445,23.1243,1078024001499
39.0851,25.5852,1078124107357
36.2382,27.5952,1078224202564
41.4552,24.1224,1078324300606
37.469,26.6887,1078424393369
37.469,26.6887,1078524486903
5.43866,183.869,1078624583472
40.3017,24.8129,1078724686083
46.1963,21.6468,1078824787552
49.5173,20.195,1078924882158
48.8575,20.4677,1079024977175
54.7323,18.2708,1079125041324
28.587,34.981,1079225137874
56.0075,17.8548,1079325232169
52.7999,18.9394,1079425330672
53.3627,18.7397,1079525427132
39.2841,25.4556,1079625654026
41.492,24.101,1079725763670
42.1179,23.7429,1079825866772
39.5733,25.2696,1079925989902
46.2261,21.6328,1080026056425
46.4248,21.5402,1080126775352
46.186,21.6516,1080226975326
45.5783,21.9403,1080327296587
43.2893,23.1004,1080427407353
41.5512,24.0667,1080527517468
47.2536,21.1624,1080627623516
47.8657,20.8918,1080727721498
40.2741,24.8299,1080827823879
37.7342,26.5011,1080927940376
44.1455,22.6523,1081028048888
48.907,20.447,1081128220618
47.1387,21.214,1081228372061
46.3335,21.5827,1081328483278
45.8229,21.8231,1081428724670
53.0028,18.8669,1081528838101
53.8161,18.5818,1081628960669
48.7495,20.513,1081729051338
54.637,18.3026,1081829569539
46.908,21.3183,1081929720330
52.1936,19.1594,1082030422205
53.2601,18.7758,1082131073135
49.3434,20.2661,1082231183851
45.9687,21.754,1082331301530
37.3509,26.7731,1082431412306
43.2912,23.0994,1082531527742
45.2159,22.1161,1082631642245
44.7328,22.355,1082731742912
40.8491,24.4803,1082831847747
37.6849,26.5358,1082931956520
49.091,20.3703,1083032051136
49.5064,20.1994,1083132181259
18.474,54.1301,1083232318124
48.8613,20.4661,1083332425614
43.2908,23.0996,1083432535819
